PROFILE_ID,PROFILE_NAME,DATA_TYPE,USER_DESCRIPTION,SELECT_VALUE
39,Profile_Cdr_Cust_Sub_Id,numeric,"A unique numeric identifier (Cust Sub Id) for a subscriber, extracted from the Call Detail Record (CDR) system to track usage. | The numeric Cust Sub Id is essential for linking a customer's CRM profile to their network usage records for accurate billing. | Used as the primary numeric key (Sub Id) in our analytics platform to join disparate data sources for a 360-degree customer view. | Show me the numeric Subscriber ID, Customer Account Number, Cust Id from the CDR logs, or the unique subscriber identifier. | What is the numeric Cust Sub Id for this subscriber in the CDR data?",
40,Profile_Cdr_Id_Sbsc,numeric,"The unique numeric Id Sbsc from the Profile_Cdr system, which serves as the primary key for identifying a specific subscriber's records. | This numeric Id Sbsc is essential for linking a subscriber's network activity from CDRs to their profile in the CRM for accurate billing. | Analytically, the numeric Id Sbsc is used to join various data sources like CDRs to build a complete view for subscriber segmentation and modeling. | Alternate names for this numeric field include: subscriber ID, customer Id Sbsc, account number, or the primary key from the CDR system. | What is the unique numeric Id Sbsc for this subscriber in the core network's CDR system?",
41,Profile_Cdr_Msisdn,string,"The Msisdn is a unique string identifier from the CDR system, representing a subscriber's mobile phone number in the network. | In business operations, the Msisdn string is the primary key in the CRM for linking a subscriber's account to their services. | For analytics, the Msisdn string is used to uniquely identify subscribers for segmentation and tracking their journey across different systems. | Alternate phrases for the Msisdn string include 'subscriber phone number,' 'customer mobile ID,' or 'unique line identifier' from the billing system. | What is the Msisdn string for the customer I want to include in this retention campaign?",
42,Profile_Line_Type,string,"A string data field from the CRM system identifying the customer's subscribed service category, such as the 'Mobile Postpaid' line type. | This string value helps tailor marketing campaigns by identifying the customer line type, ensuring relevant offers for postpaid versus prepaid subscribers. | Used for customer segmentation based on the string value of their line type, enabling analysis of revenue and usage across different service categories. | Show me the customer line category, service plan type, or subscription type. This is a string value from the billing system. | What is the subscriber's line type? Is it a prepaid or postpaid service? This is a string value.","Mobile Prepaid,Mobile Postpaid,Fixed WFBB Service,Fixed Prepaid (SAHL),ILL Service,Toll Free No's Service,MPLS Service,PRI LEASE LINE Service,PSTN PABX Service,PAYPHONE Service,IMS Audio Conference Service,LEASED LINE Service,P2P LEASED LINE Service,IMS CENTREX Service,Video Conference Service,ISDN PRI Service,PSTN VOICE Service,ISDN BASIC Service,KOM Hosting Services"
44,Profile_Event_Date,date,"Technically, the Event Date is a timestamp (Data Type: Date) from the CDR system, marking when a specific network activity occurred. | Used to trigger campaigns based on the Event Date (Data Type: Date) of a subscriber's last recharge or call from the billing system. | For analytical segmentation, filter subscribers based on the Event Date (Data Type: Date) of their last data session recorded in the network logs. | Alternate queries include 'CDR timestamp', 'activity date', or 'last network Event Date' (Data Type: Date) from the IN platform. | When was the Event Date (Data Type: Date) of the last call recorded in the subscriber's CDR profile?",
45,Profile_Cdr_Id_Acct,numeric,"The numeric 'Id Acct' is a unique identifier for a customer's billing account, often sourced from the CDR system. | This numeric 'Id Acct' links a subscriber's services in the CRM, enabling a unified view for billing and support inquiries. | Analytically, the numeric 'Id Acct' is used as a primary key in the data warehouse for subscriber-level segmentation and analysis. | Synonyms for the numeric 'Id Acct' include billing account number, customer ID, or the primary identifier from the billing system. | What is the numeric billing 'Id Acct' for this subscriber's profile in the CRM system?",
46,Profile_Cdr_Name,string,"A string data field from the CRM system representing the full name of the customer associated with a mobile subscription. | Used in the billing system to personalize communications and ensure invoices are addressed to the correct customer name, which is a string value. | Used to link and de-duplicate subscriber records across different data sources by matching the customer name, which is a string identifier. | Alternate queries for this string field: 'subscriber's full name', 'account holder name', 'name of the customer', 'CRM contact name'. | What is the customer name for this account? This is a string value found in the CDR profile.",
47,Profile_Cdr_Email,string,"This string field represents the customer's email address as recorded in the CRM system for billing and communication purposes. | The customer's email, a string value, is essential for sending digital invoices, service notifications, and targeted marketing campaigns from the billing system. | Used for subscriber segmentation based on email domain and for creating audiences for digital engagement campaigns, this is a string data type. | Subscriber's contact email, customer email address from the profile, primary email for billing, this is a string data type. | What is the customer's email address stored in the CRM? This is a string data type.",
48,Profile_Cdr_Age,numeric,"A numeric field from the CRM system representing the customer's age in years, based on their registered date of birth. | This numeric customer age helps the campaign system create targeted segments for youth-oriented plans or senior citizen mobile offers. | A numeric value used in analytics for customer segmentation by age to understand service adoption and predict churn from BSS data. | Subscriber's age; age of the customer from the billing profile; a numeric value used to find users in a specific age range. | How old is the customer? Find all subscribers with an age greater than 60 from the CRM system.",
49,Profile_Cdr_Subscriber_Dob,date,"The Customer DOB field from the CRM system, stored as a Date data type, representing the subscriber's date of birth. | Utilize the Customer DOB (Date) from the billing system to run personalized birthday campaigns and offer special promotions to subscribers. | Analyze the Customer DOB (Date) for age-based segmentation of the subscriber base to understand service adoption across different demographics. | Find the subscriber's date of birth; show me the Customer DOB (Date) from the profile; what is the user's birthdate? | Show me subscribers whose Customer DOB (Date) is this month for our loyalty campaign.",
50,Profile_Cdr_Gender,string,"A string data field from the CRM system that stores the gender of a customer, typically as 'Male' or 'Female'. | Used by marketing teams to personalize telecom service campaigns and offers based on the customer's gender, a string value. | Enables demographic segmentation of the subscriber base by customer gender, a string attribute, for analyzing service adoption trends. | Subscriber gender, customer's sex, user's gender from the billing profile, a string demographic field. | What is the customer's gender recorded in the CRM system? This is a string value.",
51,Profile_Cdr_Nationality,string,"A string field from the CRM system that stores the official Customer Nationality as recorded during subscriber registration. | This string data helps target specific Customer Nationality groups with relevant international calling packs or roaming offers for a campaign. | Used for demographic segmentation to analyze usage patterns and tailor marketing campaigns based on Customer Nationality, which is a string value. | Subscriber's country of origin, customer's home country, Customer Nationality string from the profile, subscriber's passport country. | Show me subscribers based on their Customer Nationality.","Portugal,Uzbekistan,Estonia,Tajikistan,Bermuda,Germany,Myanmar,Singapore,Ecuador,Mongolia,Equatorial Guinea,Cote D'Ivoire,Qatar,Cameroon,Iraq,Senegal,Niger,Ireland,Sierra Leone,Greece,Ukraine,Iceland,Colombia,Trinidad,Bolivia,Ethiopia,Bahamas,Zimbabwe,Tanzania,Barbados,Anguilla,Georgia,Ghana,Saint Vincent and The Grenadis,Korea,Tonga,Liberia,Nigeria,Canada,Byelorussia,Saint Lucia,El Salvador,Ivory Coast,Hungary,Czech Republic,Tunisia,Norway,Peru,Australia,Tobago,Algeria,Gibraltar,United States,Lebanon,Argentina,Cyprus,Croatia,Aruba,Dominica,United Arab Emirates,Mauritius,Gambia,Panama,Mali,Cuba,Bahrain,Bhutan,Slovakia,Belarus,Venezuela,United Kingdom,Morocco,Antigua and Barbuda,Latvia,Grenada,Brunei,Jordan,Macau,Philippines,Haiti,Lithuania,Palestine,Zambia,Monaco,Turkey,Suriname,Kyrgyzstan,Macedonia,Italy,Thailand,Israel,Central African Republic,Gabon,Malaysia,Saudi Arabia,Sudan,Jamaica,Expatriate Country,Malawi,Spain,Kenya,Viet Nam,India,Papua New Guinea,Bulgaria,Burma,Madagascar,Netherlands,East Timor,Serbia,Yemen,French Polynesia,Mauritania,Cape Verde,Maldives,Netherlands Antilles,Guyana,Egypt,Samoa,Cayman Islands,Indonesia,Japan,Burkina Faso,Andorra,Mexico,Pakistan,Slovenia,China,Sri Lanka,Dominican Republic,Malta,Cambodia,Fiji,Dem. Republic of Congo (Zaire),Chile,Taiwan,Albania,Togo,Oman,Angola,Romania,Honduras,France,Uganda,Djibouti,Belize,Sweden,Swaziland,Switzerland,Bangladesh,Comoros,Austria,Burundi,Libya,Kuwait,Benin,Denmark,Chad,Somalia,Bosnia and Herzogovina,Montserrat,Rwanda,Iran,Brazil,South Africa,New Zealand,Syrian Arab Republic,Russia,Nicaragua,Costa Rica,Kampuchea,Afghanistan,Kazakhstan,Unknown,Poland,Uruguay,British Virgin Islands,Nepal,Belgium,Finland,Azerbaijan,Chinese Taipei,Seychelles,New Caledonia,Paraguay,Hong Kong,St.Christopher,Guinea-Bissau,Luxembourg,Turkmenistan,Solomon Islands,Vanuatu,Congo,Falkland Islands,Laos,Sao Tome and Principe,Botswana,Guatemala,Mozambique,Guinea,Lesotho,St. Helena"
52,Profile_Cdr_Subscriber_Status,string,"A string field from the HLR indicating the current Customer Status, such as 'Active' or 'Suspended', for a subscriber's account. | This string value for Customer Status is used by the billing system to determine eligibility for new offers or service continuity. | Segment subscribers based on their Customer Status (a string value from the CRM) to analyze churn risk and target retention campaigns. | Synonyms for this string field include 'Subscriber state', 'Account status', or 'Current Customer Status' in the subscriber record. | What is the current Customer Status (a string) for this subscriber on the network?",Active
53,Profile_Cdr_Handset_Model,string,"A string field from the CDR identifying the specific Handset Model used by the subscriber, such as 'Apple iPhone 11'. | Used in marketing campaigns to target subscribers with a specific Handset Model for device upgrade offers, based on this string value. | For segmenting the subscriber base by Handset Model (a string value) to analyze data consumption patterns across different device capabilities. | Alternate queries for this string data include 'Device type', 'Phone model', or 'Subscriber's Handset Model' from network equipment records. | Show me subscribers whose Handset Model, a string from the billing system, is 'Galaxy S23 ULTRA'.","EG91-E,Apple iPhone 11 (A2221),Apple iPhone 14 Pro Max (A2894),Apple iPhone 12 Pro Max (A2411),Apple iPhone 13 Pro Max (A2643),Nokia 105,Apple iPhone 11 Pro Max (A2218),Apple iPhone 14 Pro (A2890),HUAWEI Y9s,Apple iPhone 13 Pro (A2638),Apple iPhone 11 Pro (A2215),HUAWEI Y9 Prime 2019,Apple iPhone 12 Pro (A2407),SC20-E,Galaxy A12,HUAWEI P30 Pro,Apple iPhone X (A1901),Apple iPhone 11 (A2111),Apple iPhone 13 (A2633),Apple iPhone 12 (A2403),Galaxy S23 ULTRA,HUAWEI P30 lite,Galaxy A13,Galaxy A03 Core,Apple iPhone 15 Pro Max (A3106),Nokia 106 DS,Redmi 9A,Galaxy A21s,Apple iPhone 7 (A1778),Apple iPhone XS MAX (A2101),HUAWEI Y6 Prime 2019, HUAWEI Y6 2019,HUAWEI nova 7i, HUAWEI P40 lite,Galaxy A51,HUAWEI Y9 2019,Nokia 150,Apple iPhone 7 Plus (A1784),Galaxy A14,Galaxy S22 ULTRA,HUAWEI Y7 Prime 2019, HUAWEI Y7 Pro 2019,Apple iPhone 15 Pro (A3102),Apple iPhone XS (A2097),Apple iPhone 13 (A2631),TM2500,SLM755,Galaxy A04,Galaxy A71,Galaxy A03s,HUAWEI nova 3i,Apple iPhone 14 (A2882)"
54,Profile_Cdr_Handset_Generation,string,"A string field from CDRs identifying the network technology (e.g., '5G') of a subscriber's handset, indicating its generation. | This string data helps identify subscribers with an older handset generation for targeted 5G upgrade campaigns and network planning. | A string attribute for segmenting subscribers by handset generation to analyze technology adoption, data usage, and predict ARPU uplift. | Device network generation, phone technology level, mobile generation from IMEI, or 4G/5G handset flag (string). | Show me subscribers whose handset generation string is '4G' for a network upgrade offer.",
55,Profile_Cdr_Handset_Type,string,"A string value from CDR data identifying the customer's handset type, often derived from the device's IMEI/TAC code. | Identifies customer handset type (a string) to target subscribers with relevant 4G/5G upgrade campaigns or device-specific data offers. | Used for customer segmentation based on handset type (a string) to analyze network experience and tailor marketing communications. | Subscriber device model, customer phone brand, user handset name; a string value identifying the specific mobile device in use. | What is the customer's handset type? Show me the string value for their device model from the billing system.",
56,Profile_Cdr_Activation_Plan,string,"A string value from the billing system's CDR data identifying the customer's initial activation plan or tariff package. | A string value used by marketing to assess the popularity of a customer activation plan and refine onboarding strategies in the CRM system. | A string attribute for subscriber segmentation based on the initial activation plan, used to predict churn risk and calculate customer lifetime value (LTV). | Initial customer plan, first subscription tariff, new subscriber plan name; a string value recorded in the provisioning system during activation. | Which activation plan did the customer choose when they first registered their SIM? This is a string value.",
57,Profile_Cdr_Activation_Date,date,"Represents the specific date (Date data type) a customer's SIM was first registered on the network, as recorded in the CRM system. | This customer activation date (Date data type) is key for calculating subscriber tenure for loyalty programs and anniversary offers from the billing system. | Used to segment customers by their activation date (Date data type) to analyze early-life churn or measure long-term value in our analytics platform. | Alternate queries include 'subscriber join date', 'SIM activation date', or 'customer start date' (Date data type) from the core network records. | When was this customer's activation date (Date data type) according to the billing system?",
58,Profile_Cdr_Activation_Type,string,"A string field from the CDR system that categorizes the subscriber's Customer Activation Type, such as 'PORT-IN' or 'PRE-PST'. | This string value helps the BSS track the method of Customer Activation, like switching from prepaid to postpaid, for targeted welcome offers. | Used for CRM segmentation based on the string Activation Type to analyze the value and behavior of customers who port-in versus new activations. | Show me the subscriber's onboarding method, Customer Activation source, or if they are a port-in. This is a string value. | What was the customer's string Activation Type in the CRM system when they joined the network?","PRE_EBU-PRE_CBU,PRE_EBU-PST_CBU,PORT-IN,PST-PRE,PST_CBU-PST_EBU,HBB-WFBB,PST_EBU-PST_CBU,PRE_CBU-PST_EBU,PRE-PST,WFBB-HBB,NORMAL,ACTIVATION,PST_EBU-PRE_CBU"
59,Profile_Cdr_Activation_Channel,string,"A string value from the provisioning system indicating the specific channel used for a new customer activation, like 'Retail' or 'Online'. | This string helps evaluate the performance of each customer activation channel, guiding marketing spend and campaign strategy for new subscriber acquisition. | Used for segmenting new subscribers based on their activation channel (a string from CRM) to analyze early-life value and churn risk. | Source of new customer, SIM activation channel, acquisition source, point of sale for activation. This is a string data type. | Show me the customer activation channel, a string value from our BSS, for all new subscribers last month.",
60,Profile_Cdr_Termination_Plan,string,"A string value from the CDR identifying the specific Termination Plan associated with a subscriber's call, used in the billing system. | This string field helps manage interconnect agreements by identifying the Termination Plan used, impacting revenue share with other network operators. | Used for profitability analysis by segmenting subscribers based on their call Termination Plan (a string value) to optimize network routing. | Show the call's terminating tariff; what was the end-of-call plan; subscriber's Termination Plan from the call record (string). | Which Termination Plan is most common for this subscriber's calls?",
61,Profile_Cdr_Termination_Date,date,"This Date field from the CDR system records the exact Termination Date when a subscriber's call or data session ended. | The Termination Date is a Date value used by the billing system to accurately calculate call duration and resolve customer disputes. | Analyzing the Termination Date, a Date field, helps identify network congestion patterns by tracking when large volumes of sessions end simultaneously. | Synonyms for this Date field include 'call end time', 'session Termination timestamp', or 'disconnection Date' from the network logs. | What was the exact Termination Date and time for this subscriber's last call according to the CDR?",
62,Profile_Cdr_Termination_Type,string,"A string field from the CDR that specifies the reason for call termination, such as 'user busy' or 'network error'. | This string value helps monitor network performance by identifying the call termination type, impacting customer experience and call success rates. | Analyzes the string-based call termination reason to segment subscribers experiencing frequent call drops, aiding in proactive churn prevention campaigns. | Show me the call termination cause, disconnect reason from the CDR, or the string value for call end type. | What was the string termination type for the subscriber's last failed call according to the network's CDR?",
63,Profile_Cdr_Account_No,string,"The 'Account No' is a unique string identifier from the billing system that links a subscriber's services and charges. | Used by customer support in the CRM to retrieve a subscriber's billing history using their unique string Account No. | This string Account No is used to join CDR data in the data warehouse for household-level usage analysis and segmentation. | Synonyms for this string field include 'Billing Account Number', 'Customer Account No', or the primary key in the subscriber database. | What is the string Account No for this subscriber in the CRM system?",
64,Profile_Cdr_Region,string,"A string data field from the CDR file indicating the geographical Region of a subscriber's activity, such as 'North' or 'South'. | This string value helps target marketing campaigns or manage network resources based on a subscriber's geographical Region. | Used for customer segmentation by geographical Region, this string data helps analyze service adoption and billing patterns across different areas. | Subscriber's geographical area, customer location, service Region, or the string value for the subscriber's home zone in the billing system. | Which network Region is this subscriber in? Show me the string value for their location.",
65,SUBSCRIPTIONS_DT,date,"A date field from the CRM system that records the specific date a subscriber's service subscription was initiated or activated. | This subscription date is crucial for the billing system to calculate pro-rated charges and manage the lifecycle of a customer's plan. | The Subscription DT, a date value, is used for cohort analysis to track customer tenure and predict churn rates over time. | Service activation date, plan start date, account subscription date, or the date the customer's main subscription began. | When did this customer's current subscription start? I need the exact date from their profile.",
66,SUBSCRIPTIONS_EVENT_DATE,date,"A date data type field from the CRM system that records the exact date a subscriber initiated their service subscription. | This subscription date is a date type used to calculate customer tenure, enabling targeted offers for loyalty programs and anniversary campaigns. | This date type enables cohort analysis based on the subscription date to track customer lifecycle value and initial churn patterns. | Synonyms for this date type include service activation date, plan start date, or the customer's initial subscription date. | Find subscribers whose subscription date falls within the last 90 days. This is a date type field.",
67,SUBSCRIPTIONS_EVENT_HOUR,numeric,"A numeric field representing the specific hour (0-23) of a day when a subscriber's subscription event was recorded by the billing system. | This numeric value helps optimize marketing campaigns by identifying the peak subscription hour, ensuring timely delivery of welcome messages to new subscribers. | Used for time-based segmentation, this numeric data helps analyze customer behavior by correlating the subscription hour with plan activation or churn patterns. | Numeric queries like 'Time of subscription', 'Activation hour', 'Sign-up time of day', or 'What hour did the subscription event happen?' | At what hour do most subscribers activate their new subscription plan? Show me the numeric distribution.",
68,SUBSCRIPTIONS_Id_Sbsc,numeric,"A unique numeric identifier (ID) assigned to each customer's subscription (Sbsc) in the operator's CRM system for tracking. | Used by customer service to look up a specific subscription ID for account management, billing inquiries, or service provisioning. | This numeric Subscription ID serves as a primary key in the data warehouse to link a subscriber's usage, billing, and profile data. | Find the subscriber account number, service ID, or the unique subscriptions sbsc id from the billing system. | What is the numeric ID for this customer's mobile subscription?",
69,SUBSCRIPTIONS_Msisdn_Index,numeric,"A unique numeric identifier (Subscription MSISDN Index) assigned to each subscriber's phone number within the core CRM system for internal tracking. | Used by the billing system to link a specific service plan to a unique numeric Subscription MSISDN Index for accurate account management. | This numeric Subscription MSISDN Index serves as a primary key in the data warehouse for joining subscriber tables for advanced analytics and segmentation. | Show me the numeric subscriber ID, MSISDN key, or the unique Subscription Index from the customer's main profile record. | What is the customer's numeric Subscription Index in the system?",
70,SUBSCRIPTIONS_Product_Category,string,"A string data field from the billing system identifying the category of a subscriber's active subscription product, like 'Prepaid Data' or 'Postpaid Family'. | Used to tailor marketing campaigns by targeting subscribers with offers relevant to their current subscription product catalouge, which is a string data type. | Enables subscriber segmentation based on their subscription product category, a string value, to analyze ARPU trends and personalize retention offers for specific plans. | Subscriber's plan type, active service package, current subscription product, or customer's product category, all of which are string values from the billing system. | What is the subscriber's current subscription product category? This string value defines their main plan in the billing system.",
71,SUBSCRIPTIONS_Product_Id,string,"A unique string identifier from the billing system representing a specific subscription product, like a data plan or service pack. | Used by marketing to target campaigns based on a customer's current subscription product, which is stored as a string value. | Enables customer segmentation based on the subscription product ID string to analyze plan adoption rates and personalize upgrade offers. | Show me the plan code, service identifier, or the string for the subscription product ID from the CRM system. | What is the subscriber's current subscription product ID string in the provisioning system?",
72,SUBSCRIPTIONS_Revenue,numeric,"A numeric value from the billing system representing the total revenue generated from a customer's active subscriptions within a specific cycle. | This numeric metric tracks subscription revenue to assess plan profitability and its contribution to the overall ARPU for different customer segments. | Used as a numeric feature in churn prediction models to identify high-value subscribers whose subscription revenue is at risk. | Show me the numeric value for 'plan charges', 'monthly subscription fee', or 'total subscription revenue' from the customer's billing record. | What is the numeric value for the total subscription revenue generated by this subscriber in the last billing cycle?",
73,SUBSCRIPTIONS_Subscription_Channel,string,"A string value from the CRM system indicating the specific channel, such as 'Online' or 'Retail Store', used for a new subscription. | This string field helps evaluate marketing campaign performance by tracking the original subscription channel for each subscriber in the billing system. | Used to segment subscribers by their acquisition channel (a string) to analyze customer lifetime value and tailor targeted retention offers. | Show me the 'Activation Source', 'Sign-up Method', or 'Subscription Channel' string for customers who joined the network last quarter. | Which channel did this subscriber use to sign up? This is a string value from our provisioning system.",
74,SUBSCRIPTIONS_Subscription_Type,string,"A string value from the CRM system identifying the subscriber's current subscription type, such as 'Prepaid' or 'Postpaid'. | This string helps the billing system differentiate revenue streams and tailor marketing campaigns based on the customer's subscription type. | Used for customer segmentation and analyzing ARPU trends by subscription type, which is a key string dimension in our data warehouse. | Customer's plan category, account subscription model, service plan type, or the string defining their billing subscription. | What is the customer's current subscription type? Is this string value 'Prepaid' or 'Postpaid' in the billing system?",
75,COMMON_Data_Local_Volume,numeric,"A numeric measure of the total Data Volume in GB/MB consumed by a subscriber within their home network's coverage area. | This numeric KPI tracks Local Data usage from the billing system to identify subscribers who might benefit from a data plan upsell. | Used for customer segmentation based on Data Volume, helping to manage network traffic and personalize offers through the CRM system; it is a numeric value. | Show me the numeric on-net Data usage, Local Volume in GB, or domestic data consumption recorded in the usage logs. | What was the customer's Local Data consumption in GB last month according to their plan details? This is a numeric value.",
76,COMMON_Data_Local_Bundle_Volume,numeric,"A numeric measure from the billing system representing the total local data volume (in GB/MB) consumed from a subscriber's bundle. | This numeric KPI tracks data bundle usage to identify subscribers for upsell campaigns or to recommend a more suitable data plan. | Used for customer segmentation based on data volume consumption, this numeric metric helps refine churn models and personalize network offers. | Synonyms for this numeric KPI include 'local data usage from bundle,' 'total bundle volume consumed,' or 'data pack consumption in GB.' | How much local data bundle volume in GB did this subscriber use last month? This is a numeric query.",
77,COMMON_Data_Local_PayG_Volume,numeric,"A numeric measure from the billing system representing the total volume of local data consumed by a subscriber on a Pay-As-You-Go basis. | This numeric KPI helps identify high-value PayG data users for targeted campaigns, optimizing tariff plans and maximizing out-of-bundle revenue. | Used for customer segmentation based on local data volume, this numeric metric is crucial for building propensity models for data pack upgrades. | Show me the numeric 'Local PayG Data usage', 'out-of-bundle data consumption', or 'Pay-As-You-Go data charges' for a subscriber. | What is the subscriber's numeric PayG data volume outside their standard plan?",
78,COMMON_Data_Local_Free_Volume,numeric,"This numeric KPI represents the total volume of local data consumed from a subscriber's free allowance, as recorded in the billing system. | A numeric value used to identify subscribers who exhaust their free data volume, creating opportunities for plan upgrades or data pack upsells. | This numeric data volume is used for customer segmentation and in propensity models to predict future data pack purchase behavior. | Show me the numeric local data usage from free quota, complimentary data allowance, or bonus data volume consumed by the subscriber. | What is the numeric volume of free data the customer used from their plan last month?",
79,COMMON_Data_Local_Revenue,numeric,"A numeric value from the billing system representing the total revenue generated from a subscriber's local data usage within a cycle. | This numeric metric helps marketing teams track local data revenue contribution to overall ARPU and design profitable data packs for subscribers. | Used for customer segmentation based on local data revenue, this numeric field helps identify high-value subscribers for targeted CRM campaigns. | Show me the numeric domestic data revenue per subscriber; earnings from local data; subscriber's local data spend from the billing system. | What is the numeric local data revenue for subscribers on the new unlimited plan?",
